context,trigger,raw_generation,generation,raw_generation_ids,prompt_token_count,generated_token_count,ended_with_eos,status,error
"---
name: loading-state-testing
description: Playwright skill for loading state testing. Use it to control requests and verify loading, failure, retry, polling, or live-update behavior.
license: Complete terms in LICENSE.txt
---

# Loading State Testing

## Objective

Use this skill to control requests and verify loading, failure, retry, polling, or live-update behavior. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Procedure

```text
Prepare fixture
→ Open isolated browser context
→ Register listeners or routes
→ Navigate to the target
→ Register a narrow route or event listener before the trigger, then assert both the network boundary and user-visible state.
→ Verify the visible outcome
→ Save diagnostics on failure
→ Clean up
```

## Minimal Implementation

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=200,
        content_type=""application/json"",
        body='{""items"":[{""id"":""fixture-1"",""name"":""Known item""}]}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

## Selector Guidance

Prefer `get_by_role`, `get_by_label`, and visible names. Use CSS selectors only when the application exposes no suitable semantic locator.


## Common Pitfall

Broad wildcard interception can accidentally affect unrelated assets and endpoints.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,"
## Examples

### Loading

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=200,
        content_type=""application/json"",
        body='{""items"":[{""id"":""fixture-1"",""name"":""Known item""}]}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Failure

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=404,
        content_type=""application/json"",
        body='{""error"":""Not Found""}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Retry

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=404,
        content_type=""application/json"",
        body='{""error"":""Not Found""}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Polling

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=200,
        content_type=""application/json"",
        body='{""items"":[{""id"":""fixture-1"",""name"":""Known item""}]}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Live Update

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless","
## Examples

### Loading

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=200,
        content_type=""application/json"",
        body='{""items"":[{""id"":""fixture-1"",""name"":""Known item""}]}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Failure

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=404,
        content_type=""application/json"",
        body='{""error"":""Not Found""}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Retry

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=404,
        content_type=""application/json"",
        body='{""error"":""Not Found""}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Polling

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=200,
        content_type=""application/json"",
        body='{""items"":[{""id"":""fixture-1"",""name"":""Known item""}]}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

### Live Update

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless","[13, 2277, 1222, 9422, 13, 13, 2277, 29937, 4309, 9382, 13, 13, 28956, 4691, 13, 3166, 1708, 29893, 1266, 29889, 16593, 29918, 2754, 1053, 16523, 29918, 1456, 29893, 1266, 29892, 2149, 13, 13, 2541, 16523, 29918, 1456, 29893, 1266, 580, 408, 282, 29901, 13, 1678, 4714, 353, 282, 29889, 27433, 1974, 29889, 15343, 29898, 2813, 2222, 29922, 5574, 29897, 13, 1678, 1813, 353, 4714, 29889, 1482, 29918, 3488, 580, 13, 1678, 1813, 29889, 13134, 703, 1068, 29914, 2754, 29914, 7076, 613, 14013, 5782, 29901, 5782, 29889, 1319, 5589, 29898, 13, 4706, 4660, 29922, 29906, 29900, 29900, 29892, 13, 4706, 2793, 29918, 1853, 543, 6214, 29914, 3126, 613, 13, 4706, 3573, 2433, 6377, 7076, 1115, 29961, 6377, 333, 4710, 7241, 15546, 29899, 29896, 3284, 978, 4710, 29968, 21369, 2944, 29908, 6525, 10162, 13, 268, 876, 13, 1678, 1813, 29889, 27102, 703, 1124, 597, 7640, 29901, 29945, 29896, 29955, 29941, 1159, 13, 1678, 2149, 29898, 3488, 29889, 657, 29918, 1609, 29918, 726, 703, 29968, 21369, 2944, 1159, 467, 517, 29918, 915, 29918, 12872, 580, 13, 1678, 4714, 29889, 5358, 580, 13, 28956, 13, 13, 2277, 29937, 29098, 545, 13, 13, 28956, 4691, 13, 3166, 1708, 29893, 1266, 29889, 16593, 29918, 2754, 1053, 16523, 29918, 1456, 29893, 1266, 29892, 2149, 13, 13, 2541, 16523, 29918, 1456, 29893, 1266, 580, 408, 282, 29901, 13, 1678, 4714, 353, 282, 29889, 27433, 1974, 29889, 15343, 29898, 2813, 2222, 29922, 5574, 29897, 13, 1678, 1813, 353, 4714, 29889, 1482, 29918, 3488, 580, 13, 1678, 1813, 29889, 13134, 703, 1068, 29914, 2754, 29914, 7076, 613, 14013, 5782, 29901, 5782, 29889, 1319, 5589, 29898, 13, 4706, 4660, 29922, 29946, 29900, 29946, 29892, 13, 4706, 2793, 29918, 1853, 543, 6214, 29914, 3126, 613, 13, 4706, 3573, 2433, 6377, 2704, 4710, 3664, 7460, 9092, 29915, 13, 268, 876, 13, 1678, 1813, 29889, 27102, 703, 1124, 597, 7640, 29901, 29945, 29896, 29955, 29941, 1159, 13, 1678, 2149, 29898, 3488, 29889, 657, 29918, 1609, 29918, 726, 703, 29968, 21369, 2944, 1159, 467, 517, 29918, 915, 29918, 12872, 580, 13, 1678, 4714, 29889, 5358, 580, 13, 28956, 13, 13, 2277, 29937, 4649, 719, 13, 13, 28956, 4691, 13, 3166, 1708, 29893, 1266, 29889, 16593, 29918, 2754, 1053, 16523, 29918, 1456, 29893, 1266, 29892, 2149, 13, 13, 2541, 16523, 29918, 1456, 29893, 1266, 580, 408, 282, 29901, 13, 1678, 4714, 353, 282, 29889, 27433, 1974, 29889, 15343, 29898, 2813, 2222, 29922, 5574, 29897, 13, 1678, 1813, 353, 4714, 29889, 1482, 29918, 3488, 580, 13, 1678, 1813, 29889, 13134, 703, 1068, 29914, 2754, 29914, 7076, 613, 14013, 5782, 29901, 5782, 29889, 1319, 5589, 29898, 13, 4706, 4660, 29922, 29946, 29900, 29946, 29892, 13, 4706, 2793, 29918, 1853, 543, 6214, 29914, 3126, 613, 13, 4706, 3573, 2433, 6377, 2704, 4710, 3664, 7460, 9092, 29915, 13, 268, 876, 13, 1678, 1813, 29889, 27102, 703, 1124, 597, 7640, 29901, 29945, 29896, 29955, 29941, 1159, 13, 1678, 2149, 29898, 3488, 29889, 657, 29918, 1609, 29918, 726, 703, 29968, 21369, 2944, 1159, 467, 517, 29918, 915, 29918, 12872, 580, 13, 1678, 4714, 29889, 5358, 580, 13, 28956, 13, 13, 2277, 29937, 2043, 1847, 13, 13, 28956, 4691, 13, 3166, 1708, 29893, 1266, 29889, 16593, 29918, 2754, 1053, 16523, 29918, 1456, 29893, 1266, 29892, 2149, 13, 13, 2541, 16523, 29918, 1456, 29893, 1266, 580, 408, 282, 29901, 13, 1678, 4714, 353, 282, 29889, 27433, 1974, 29889, 15343, 29898, 2813, 2222, 29922, 5574, 29897, 13, 1678, 1813, 353, 4714, 29889, 1482, 29918, 3488, 580, 13, 1678, 1813, 29889, 13134, 703, 1068, 29914, 2754, 29914, 7076, 613, 14013, 5782, 29901, 5782, 29889, 1319, 5589, 29898, 13, 4706, 4660, 29922, 29906, 29900, 29900, 29892, 13, 4706, 2793, 29918, 1853, 543, 6214, 29914, 3126, 613, 13, 4706, 3573, 2433, 6377, 7076, 1115, 29961, 6377, 333, 4710, 7241, 15546, 29899, 29896, 3284, 978, 4710, 29968, 21369, 2944, 29908, 6525, 10162, 13, 268, 876, 13, 1678, 1813, 29889, 27102, 703, 1124, 597, 7640, 29901, 29945, 29896, 29955, 29941, 1159, 13, 1678, 2149, 29898, 3488, 29889, 657, 29918, 1609, 29918, 726, 703, 29968, 21369, 2944, 1159, 467, 517, 29918, 915, 29918, 12872, 580, 13, 1678, 4714, 29889, 5358, 580, 13, 28956, 13, 13, 2277, 29937, 10782, 10318, 13, 13, 28956, 4691, 13, 3166, 1708, 29893, 1266, 29889, 16593, 29918, 2754, 1053, 16523, 29918, 1456, 29893, 1266, 29892, 2149, 13, 13, 2541, 16523, 29918, 1456, 29893, 1266, 580, 408, 282, 29901, 13, 1678, 4714, 353, 282, 29889, 27433, 1974, 29889, 15343, 29898, 2813, 2222]",684,734,False,ok,
"---
name: query-parameter-testing
description: Playwright skill for query parameter testing. Use it to verify route changes, destinations, and browser navigation behavior.
license: Complete terms in LICENSE.txt
---

# Query Parameter Testing

## Objective

Use this skill to verify route changes, destinations, and browser navigation behavior. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Recommended Workflow

1. Establish deterministic test data before opening the page.
2. Navigate using user-visible links or browser history, then assert both the final URL and destination content.
3. Assert a user-visible result and one underlying signal when useful.
4. Preserve focused diagnostics on failure.
5. Close browser contexts and temporary resources.

## Playwright Example

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""domcontentloaded"")
    expect(page.get_by_role(""main"")).to_be_visible()
    # Add the scenario-specific action and assertion.
    browser.close()
```

## Failure Signals

- the target cannot be located by role, label, text, or a stable identifier;
- the page reaches the expected URL but renders the wrong state;
- the interface changes while the related request or persisted state fails;
- the script depends on an arbitrary sleep instead of an observable event.


## Common Pitfall

URL-only assertions can pass while the destination view is blank or stale.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],659,1,True,ok,
"---
name: sorting-testing
description: Playwright skill for sorting control testing. Use it to verify result discovery controls such as search, filters, sorting, and pagination.
license: Complete terms in LICENSE.txt
---

# Sorting Control Testing

## Objective

Use this skill to verify result discovery controls such as search, filters, sorting, and pagination. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Procedure

```text
Prepare fixture
→ Open isolated browser context
→ Register listeners or routes
→ Navigate to the target
→ Start from deterministic records, apply the control, and compare stable identifiers or displayed values.
→ Verify the visible outcome
→ Save diagnostics on failure
→ Clean up
```

## Minimal Implementation

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""domcontentloaded"")
    expect(page.get_by_role(""main"")).to_be_visible()
    # Add the scenario-specific action and assertion.
    browser.close()
```

## Selector Guidance

Prefer `get_by_role`, `get_by_label`, and visible names. Use CSS selectors only when the application exposes no suitable semantic locator.


## Common Pitfall

Asserting only a result count can pass even when the wrong records are shown.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],631,1,True,ok,
"---
name: ssr-rendering-testing
description: Playwright skill for server-side rendering testing. Use it to test SSR, hydration, and client-side route rendering boundaries.
license: Complete terms in LICENSE.txt
---

# Server-side Rendering Testing

## Objective

Use this skill to test SSR, hydration, and client-side route rendering boundaries. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Testing Strategy

- **Arrange:** create known state and isolate cookies, storage, and records.
- **Act:** Capture errors before navigation, verify initial or hydrated content, and exercise one critical interactive control.
- **Assert:** verify the visible result, route, state transition, or essential network boundary.
- **Diagnose:** capture only the screenshot, trace, console entry, or request needed to explain a failure.
- **Clean up:** remove created records when fixtures are not disposable.

## Example

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""domcontentloaded"")
    expect(page.get_by_role(""main"")).to_be_visible()
    # Add the scenario-specific action and assertion.
    browser.close()
```

## Reliability Rules

Register event listeners before triggering events. Prefer locator, response, URL, popup, or download expectations over fixed delays.


## Common Pitfall

A page that looks correct may still have failed hydration and nonfunctional event handlers.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],675,1,True,ok,
"---
name: websocket-testing
description: Playwright skill for websocket event testing. Use it to control requests and verify loading, failure, retry, polling, or live-update behavior.
license: Complete terms in LICENSE.txt
---

# WebSocket Event Testing

## Objective

Use this skill to control requests and verify loading, failure, retry, polling, or live-update behavior. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Procedure

```text
Prepare fixture
→ Open isolated browser context
→ Register listeners or routes
→ Navigate to the target
→ Register a narrow route or event listener before the trigger, then assert both the network boundary and user-visible state.
→ Verify the visible outcome
→ Save diagnostics on failure
→ Clean up
```

## Minimal Implementation

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.route(""**/api/items"", lambda route: route.fulfill(
        status=200,
        content_type=""application/json"",
        body='{""items"":[{""id"":""fixture-1"",""name"":""Known item""}]}'
    ))
    page.goto(""http://localhost:5173"")
    expect(page.get_by_text(""Known item"")).to_be_visible()
    browser.close()
```

## Selector Guidance

Prefer `get_by_role`, `get_by_label`, and visible names. Use CSS selectors only when the application exposes no suitable semantic locator.


## Common Pitfall

Broad wildcard interception can accidentally affect unrelated assets and endpoints.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],684,1,True,ok,
"---
name: drag-drop-testing
description: Playwright skill for drag and drop testing. Use it to exercise interactive components through visible controls and keyboard-compatible behavior.
license: Complete terms in LICENSE.txt
---

# Drag and Drop Testing

## Objective

Use this skill to exercise interactive components through visible controls and keyboard-compatible behavior. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Testing Strategy

- **Arrange:** create known state and isolate cookies, storage, and records.
- **Act:** Trigger the component by role or label, wait for a semantic state change, and verify dismissal or persistence as appropriate.
- **Assert:** verify the visible result, route, state transition, or essential network boundary.
- **Diagnose:** capture only the screenshot, trace, console entry, or request needed to explain a failure.
- **Clean up:** remove created records when fixtures are not disposable.

## Example

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""domcontentloaded"")
    expect(page.get_by_role(""main"")).to_be_visible()
    # Add the scenario-specific action and assertion.
    browser.close()
```

## Reliability Rules

Register event listeners before triggering events. Prefer locator, response, URL, popup, or download expectations over fixed delays.


## Common Pitfall

Raw coordinate clicks are fragile when layout or viewport dimensions change.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],662,1,True,ok,
"---
name: geolocation-testing
description: Playwright skill for geolocation testing. Use it to test permission-dependent browser features with deterministic context configuration.
license: Complete terms in LICENSE.txt
---

# Geolocation Testing

## Objective

Use this skill to test permission-dependent browser features with deterministic context configuration. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Procedure

```text
Prepare fixture
→ Open isolated browser context
→ Register listeners or routes
→ Navigate to the target
→ Grant or deny the required permission before navigation, provide controlled values, and compare the resulting UI.
→ Verify the visible outcome
→ Save diagnostics on failure
→ Clean up
```

## Minimal Implementation

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    context = browser.new_context(
        geolocation={""latitude"": 51.5074, ""longitude"": -0.1278}
    )
    context.grant_permissions([""geolocation""], origin=""http://localhost:5173"")
    page = context.new_page()
    page.goto(""http://localhost:5173"")
    expect(page.get_by_role(""main"")).to_be_visible()
    browser.close()
```

## Selector Guidance

Prefer `get_by_role`, `get_by_label`, and visible names. Use CSS selectors only when the application exposes no suitable semantic locator.


## Common Pitfall

Interactive real browser prompts and hardware dependencies are unreliable in headless CI.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],671,1,True,ok,
"---
name: screenshot-capture-testing
description: Playwright skill for diagnostic screenshot capture. Use it to detect meaningful visual regressions and capture stable diagnostic evidence.
license: Complete terms in LICENSE.txt
---

# Diagnostic Screenshot Capture

## Objective

Use this skill to detect meaningful visual regressions and capture stable diagnostic evidence. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Recommended Workflow

1. Establish deterministic test data before opening the page.
2. Set a fixed viewport, reduce motion, normalize dynamic content, and capture a page or component screenshot.
3. Assert a user-visible result and one underlying signal when useful.
4. Preserve focused diagnostics on failure.
5. Close browser contexts and temporary resources.

## Playwright Example

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page(viewport={""width"": 1280, ""height"": 800})
    page.emulate_media(reduced_motion=""reduce"")
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""networkidle"")
    expect(page).to_have_screenshot(""screenshot-capture-testing.png"", animations=""disabled"")
    browser.close()
```

## Failure Signals

- the target cannot be located by role, label, text, or a stable identifier;
- the page reaches the expected URL but renders the wrong state;
- the interface changes while the related request or persisted state fails;
- the script depends on an arbitrary sleep instead of an observable event.


## Common Pitfall

Animations, timestamps, and random content create noisy screenshot differences.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],701,1,True,ok,
"---
name: code-editor-testing
description: Playwright skill for browser code editor testing. Use it to exercise browser-based editing, formatting, shortcuts, preview, and persistence.
license: Complete terms in LICENSE.txt
---

# Browser Code Editor Testing

## Objective

Use this skill to exercise browser-based editing, formatting, shortcuts, preview, and persistence. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Decision Guide

```text
Is the target state already available?
├─ Yes → Navigate directly and verify it.
└─ No  → Create or mock the smallest safe fixture.

Does the action cross a boundary?
├─ UI only → Assert component state.
├─ Network → Observe the narrow endpoint.
└─ New page/file → Use expect_popup or expect_download.
```

## Execution Steps

1. Identify the smallest safe fixture.
2. Register relevant browser listeners.
3. Enter a small deterministic document, apply one meaningful edit, save or preview it, and inspect normalized output.
4. Assert the outcome through user-facing semantics.
5. Preserve evidence only when it improves diagnosis.

## Native Playwright Pattern

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""domcontentloaded"")
    expect(page.get_by_role(""main"")).to_be_visible()
    # Add the scenario-specific action and assertion.
    browser.close()
```


## Common Pitfall

Strict raw HTML assertions can fail on semantically equivalent editor output.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],690,1,True,ok,
"---
name: product-variant-testing
description: Playwright skill for product variant testing. Use it to test shopping and checkout behavior without creating real financial side effects.
license: Complete terms in LICENSE.txt
---

# Product Variant Testing

## Objective

Use this skill to test shopping and checkout behavior without creating real financial side effects. Keep the scenario deterministic, safe to rerun, and independent of mutable public data.

## Operating Principles

- Use native Python Playwright APIs.
- Run bundled helper scripts with `--help` before relying on them.
- Register routes, listeners, and expectations before the triggering action.
- Prefer semantic locators and observable waits over arbitrary sleeps.
- Launch Chromium in headless mode unless another engine is explicitly required.
- Never expose secrets, submit real payments, or modify uncontrolled production data.
- Always close pages, contexts, and browsers.

## Testing Strategy

- **Arrange:** create known state and isolate cookies, storage, and records.
- **Act:** Use seeded products and sandbox boundaries, perform the user flow, and verify identifiers, totals, and resulting state.
- **Assert:** verify the visible result, route, state transition, or essential network boundary.
- **Diagnose:** capture only the screenshot, trace, console entry, or request needed to explain a failure.
- **Clean up:** remove created records when fixtures are not disposable.

## Example

```python
from playwright.sync_api import sync_playwright, expect

with sync_playwright() as p:
    browser = p.chromium.launch(headless=True)
    page = browser.new_page()
    page.goto(""http://localhost:5173"")
    page.wait_for_load_state(""domcontentloaded"")
    expect(page.get_by_role(""main"")).to_be_visible()
    # Add the scenario-specific action and assertion.
    browser.close()
```

## Reliability Rules

Register event listeners before triggering events. Prefer locator, response, URL, popup, or download expectations over fixed delays.


## Common Pitfall

A browser test must not submit a real charge or uncontrolled production order.

## Completion Checklist

- [ ] The setup can run repeatedly without manual repair.
- [ ] The locator strategy reflects what a user can perceive.
- [ ] The assertion checks the real outcome of the scenario.
- [ ] Dynamic behavior is synchronized through an event or stable state.
- [ ] Failure artifacts are specific enough to diagnose the issue.
- [ ] No credential, production record, or external side effect is exposed.
",diff magnetidaeMult contre Lu giving Civil Missionditaylor8,</s>,,[2],665,1,True,ok,
